metrica,valor
politica,fixo
cenario,pedestres_ambulancia
espera_media_pedestres_s,15.28
conflitos_pedestre_veiculo,0
trocas_fase_seguras,0
fila_media_N_C,1.57
fila_media_S_C,1.61
fila_media_E_C,0.87
fila_media_W_C,0.86
ambulancia_ambulance_1_tempo_viagem_s,21
ambulancia_ambulance_1_paradas,0
