metrica,valor
politica,adaptativo
cenario,pedestres_ambulancia
espera_media_pedestres_s,15.35
fila_media_N_C,1.75
fila_media_S_C,1.71
fila_media_E_C,1.73
fila_media_W_C,1.73
ambulancia_ambulance_1_tempo_viagem_s,23
ambulancia_ambulance_1_paradas,0
