metrica,valor
politica,fixo
cenario,pedestres_ambulancia
espera_media_pedestres_s,0.0
conflitos_pedestre_veiculo,0
trocas_fase_seguras,0
fila_media_N_C,1.14
fila_media_S_C,1.2
fila_media_E_C,0.62
fila_media_W_C,0.77
ambulancia_ambulance_1_tempo_viagem_s,21
ambulancia_ambulance_1_paradas,0
